,Bike,length of longest straight,Right_Corners,Left_Corners,Year,track_width,MotoGP_avg_speed,GP_distance,corners,Rider_Name,points_mean,Finish_Time_ms,Track_Condition,Track_Temp,Humidity,Position,Track,Trk Length,Team_Name,Nationality
95,honda,487.0,12.0,6.0,2010,14.0,173.1,118.1,18.0,andrea dovizioso,12.598360655737705,2493952.0,dry,48.0,23.0,5,ned - tt circuit assen,4.5,repsol honda team,ita
96,honda,1047.0,8.0,6.0,2010,12.0,164.4,111.0,14.0,andrea dovizioso,12.598360655737705,2695207.0,dry,49.0,17.0,14,cat - circuit de barcelona-catalunya,4.6,repsol honda team,ita
97,honda,700.0,3.0,10.0,2010,12.0,160.6,110.1,13.0,andrea dovizioso,12.598360655737705,750160.0,dry,29.0,44.0,4,ger - sachsenring,3.7,repsol honda team,ita
98,honda,700.0,3.0,10.0,2010,12.0,160.6,110.1,13.0,andrea dovizioso,12.598360655737705,1747634.0,dry,31.0,44.0,5,ger - sachsenring,3.7,repsol honda team,ita
99,honda,530.0,10.0,6.0,2010,14.0,162.6,114.1,16.0,andrea dovizioso,12.598360655737705,2668513.0,dry,39.0,43.0,4,rsm - misano world circuit marco simoncelli,4.2,repsol honda team,ita
100,honda,762.0,8.0,6.0,2010,15.0,162.2,115.2,14.0,andrea dovizioso,12.598360655737705,2596134.0,dry,34.0,44.0,2,jpn - twin ring motegi,4.8,repsol honda team,ita
101,honda,920.0,10.0,5.0,2010,16.0,164.0,110.9,15.0,andrea dovizioso,12.598360655737705,2463672.0,dry,43.0,27.0,2,mal - sepang international circuit,5.5,repsol honda team,ita
102,honda,876.0,5.0,9.0,2010,12.0,139.8,108.1,14.0,andrea dovizioso,12.598360655737705,2823782.0,dry,27.0,33.0,5,val - circuit ricardo tormo,4.0,repsol honda team,ita
103,honda,1068.0,10.0,6.0,2009,12.0,166.6,118.4,16.0,andrea dovizioso,12.598360655737705,2601247.0,dry,26.0,79.0,5,qat - losail international circuit,5.4,repsol honda team,ita
104,honda,762.0,8.0,6.0,2009,15.0,162.2,115.2,14.0,andrea dovizioso,12.598360655737705,2636445.0,dry,31.0,25.0,5,jpn - twin ring motegi,4.8,repsol honda team,ita
105,honda,607.0,8.0,6.0,2009,11.0,161.2,110.6,14.0,andrea dovizioso,12.598360655737705,2753182.0,dry,45.0,31.0,8,spa - circuito de jerez,4.4,repsol honda team,ita
106,honda,674.0,9.0,5.0,2009,13.0,161.8,113.0,14.0,andrea dovizioso,12.598360655737705,2893133.0,wet,19.0,58.0,4,fra - le mans,4.2,repsol honda team,ita
107,honda,1047.0,8.0,6.0,2009,12.0,164.4,111.0,14.0,andrea dovizioso,12.598360655737705,2600833.0,dry,46.0,12.0,4,cat - circuit de barcelona-catalunya,4.6,repsol honda team,ita
108,honda,636.0,8.0,6.0,2009,15.0,165.5,113.5,14.0,andrea dovizioso,12.598360655737705,2610409.0,dry,45.0,32.0,4,cze - automotodrom brno,5.4,repsol honda team,ita
109,honda,530.0,10.0,6.0,2009,14.0,162.6,114.1,16.0,andrea dovizioso,12.598360655737705,2699212.0,dry,41.0,32.0,4,rsm - misano world circuit marco simoncelli,4.2,repsol honda team,ita
110,honda,876.0,5.0,9.0,2009,12.0,139.8,108.1,14.0,andrea dovizioso,12.598360655737705,2845917.0,dry,29.0,24.0,8,val - circuit ricardo tormo,4.0,repsol honda team,ita
111,honda,1068.0,10.0,6.0,2008,12.0,166.6,118.4,16.0,andrea dovizioso,12.598360655737705,2569875.0,dry,19.0,58.0,4,qat - losail international circuit,5.4,jir team scot motogp,ita
112,honda,607.0,8.0,6.0,2008,11.0,161.2,110.6,14.0,andrea dovizioso,12.598360655737705,2763570.0,dry,23.0,26.0,8,spa - circuito de jerez,4.4,jir team scot motogp,ita
