,Bike,length of longest straight,Right_Corners,Left_Corners,Year,track_width,MotoGP_avg_speed,GP_distance,corners,Rider_Name,points_mean,Track_Condition,Track_Temp,Humidity,Track,Finish_Time_ms
180,24,920.0,10.0,5.0,2016,16.0,164.0,110.9,15.0,270,19.45045045045045,1,28.0,97.0,8,2583813.0
181,24,876.0,5.0,9.0,2016,12.0,139.8,108.1,14.0,270,19.45045045045045,0,25.0,42.0,13,2755413.0
182,24,1068.0,10.0,6.0,2015,12.0,166.6,118.4,16.0,270,19.45045045045045,0,28.0,83.0,10,2562753.0
183,24,1200.0,9.0,11.0,2015,15.0,158.4,110.3,20.0,270,19.45045045045045,0,36.0,62.0,0,2627150.0
184,24,607.0,8.0,6.0,2015,11.0,161.2,110.6,14.0,270,19.45045045045045,0,30.0,41.0,12,2702822.0
185,24,674.0,9.0,5.0,2015,13.0,161.8,113.0,14.0,270,19.45045045045045,0,32.0,45.0,5,2644033.0
186,24,487.0,12.0,6.0,2015,14.0,173.1,118.1,18.0,270,19.45045045045045,0,30.0,66.0,9,2455279.0
187,24,700.0,3.0,10.0,2015,12.0,160.6,110.1,13.0,270,19.45045045045045,0,42.0,38.0,6,2461087.0
188,24,636.0,8.0,6.0,2015,15.0,165.5,113.5,14.0,270,19.45045045045045,0,39.0,54.0,4,2577504.0
189,24,530.0,10.0,6.0,2015,14.0,162.6,114.1,16.0,270,19.45045045045045,0,31.0,34.0,11,2903819.0
190,24,762.0,8.0,6.0,2015,15.0,162.2,115.2,14.0,270,19.45045045045045,1,21.0,93.0,7,2838608.0
191,24,876.0,5.0,9.0,2015,12.0,139.8,108.1,14.0,270,19.45045045045045,0,29.0,63.0,13,2759627.0
192,24,1068.0,10.0,6.0,2014,12.0,166.6,118.4,16.0,270,19.45045045045045,0,18.0,60.0,10,2560561.0
193,24,1200.0,9.0,11.0,2014,15.0,158.4,110.3,20.0,270,19.45045045045045,0,32.0,71.0,0,2613430.0
194,24,1076.0,9.0,5.0,2014,16.0,172.7,120.2,14.0,270,19.45045045045045,0,37.0,60.0,2,2499821.0
195,24,607.0,8.0,6.0,2014,11.0,161.2,110.6,14.0,270,19.45045045045045,0,50.0,25.0,12,2724134.0
196,24,674.0,9.0,5.0,2014,13.0,161.8,113.0,14.0,270,19.45045045045045,0,42.0,35.0,5,2643925.0
197,24,1047.0,8.0,6.0,2014,12.0,164.4,111.0,14.0,270,19.45045045045045,0,34.0,61.0,3,2576914.0
198,24,487.0,12.0,6.0,2014,14.0,173.1,118.1,18.0,270,19.45045045045045,1,25.0,69.0,9,2609954.0
199,24,700.0,3.0,10.0,2014,12.0,160.6,110.1,13.0,270,19.45045045045045,2,27.0,66.0,6,2507664.0
200,24,636.0,8.0,6.0,2014,15.0,165.5,113.5,14.0,270,19.45045045045045,0,23.0,71.0,4,2578254.0
201,24,530.0,10.0,6.0,2014,14.0,162.6,114.1,16.0,270,19.45045045045045,0,37.0,45.0,11,2730534.0
202,24,968.0,7.0,10.0,2014,15.0,167.0,116.8,17.0,270,19.45045045045045,0,20.0,93.0,1,2735633.0
203,24,762.0,8.0,6.0,2014,15.0,162.2,115.2,14.0,270,19.45045045045045,0,27.0,57.0,7,2542897.0
204,24,920.0,10.0,5.0,2014,16.0,164.0,110.9,15.0,270,19.45045045045045,0,54.0,50.0,8,2445523.0
205,24,876.0,5.0,9.0,2014,12.0,139.8,108.1,14.0,270,19.45045045045045,0,22.0,45.0,13,2799627.0
206,24,1068.0,10.0,6.0,2013,12.0,166.6,118.4,16.0,270,19.45045045045045,0,23.0,66.0,10,2566003.0
207,24,1200.0,9.0,11.0,2013,15.0,158.4,110.3,20.0,270,19.45045045045045,0,38.0,46.0,0,2622123.0
208,24,607.0,8.0,6.0,2013,11.0,161.2,110.6,14.0,270,19.45045045045045,0,47.0,38.0,12,2720119.0
209,24,674.0,9.0,5.0,2013,13.0,161.8,113.0,14.0,270,19.45045045045045,1,18.0,93.0,5,2964656.0
210,24,1047.0,8.0,6.0,2013,12.0,164.4,111.0,14.0,270,19.45045045045045,0,52.0,29.0,3,2588305.0
211,24,487.0,12.0,6.0,2013,14.0,173.1,118.1,18.0,270,19.45045045045045,0,18.0,49.0,9,2487372.0
212,24,700.0,3.0,10.0,2013,12.0,160.6,110.1,13.0,270,19.45045045045045,0,42.0,48.0,6,2474653.0
213,24,636.0,8.0,6.0,2013,15.0,165.5,113.5,14.0,270,19.45045045045045,0,23.0,70.0,4,2570729.0
214,24,530.0,10.0,6.0,2013,14.0,162.6,114.1,16.0,270,19.45045045045045,0,31.0,56.0,11,2648901.0
215,24,968.0,7.0,10.0,2013,15.0,167.0,116.8,17.0,270,19.45045045045045,0,30.0,43.0,1,2523459.0
216,24,920.0,10.0,5.0,2013,16.0,164.0,110.9,15.0,270,19.45045045045045,0,44.0,58.0,8,2447948.0
217,24,762.0,8.0,6.0,2013,15.0,162.2,115.2,14.0,270,19.45045045045045,0,31.0,33.0,7,2557479.0
218,24,876.0,5.0,9.0,2013,12.0,139.8,108.1,14.0,270,19.45045045045045,0,26.0,28.0,13,2777659.0
256,68,1068.0,10.0,6.0,2018,12.0,166.6,118.4,16.0,421,16.22972972972973,0,23.0,46.0,10,2555451.0
257,68,1076.0,9.0,5.0,2018,16.0,172.7,120.2,14.0,421,16.22972972972973,1,23.0,94.0,2,2488424.0
258,68,1200.0,9.0,11.0,2018,15.0,158.4,110.3,20.0,421,16.22972972972973,0,35.0,45.0,0,2521589.0
259,68,607.0,8.0,6.0,2018,11.0,161.2,110.6,14.0,421,16.22972972972973,0,40.0,41.0,12,2508421.0
260,68,674.0,9.0,5.0,2018,13.0,161.8,113.0,14.0,421,16.22972972972973,0,45.0,41.0,5,2515123.0
261,68,1047.0,8.0,6.0,2018,12.0,164.4,111.0,14.0,421,16.22972972972973,0,45.0,51.0,3,2419664.0
262,68,487.0,12.0,6.0,2018,14.0,173.1,118.1,18.0,421,16.22972972972973,0,40.0,32.0,9,2476826.0
263,68,700.0,3.0,10.0,2018,12.0,160.6,110.1,13.0,421,16.22972972972973,0,48.0,48.0,6,2467215.0
264,68,636.0,8.0,6.0,2018,15.0,165.5,113.5,14.0,421,16.22972972972973,0,41.0,44.0,4,2470630.0
265,68,530.0,10.0,6.0,2018,14.0,162.6,114.1,16.0,421,16.22972972972973,0,41.0,57.0,11,2544512.0
266,68,968.0,7.0,10.0,2018,15.0,167.0,116.8,17.0,421,16.22972972972973,0,45.0,36.0,1,2531148.0
267,68,762.0,8.0,6.0,2018,15.0,162.2,115.2,14.0,421,16.22972972972973,0,35.0,34.0,7,2562851.0
268,68,920.0,10.0,5.0,2018,16.0,164.0,110.9,15.0,421,16.22972972972973,0,53.0,55.0,8,2490660.0
269,68,1068.0,10.0,6.0,2017,12.0,166.6,118.4,16.0,421,16.22972972972973,0,22.0,96.0,10,2341927.0
270,68,1076.0,9.0,5.0,2017,16.0,172.7,120.2,14.0,421,16.22972972972973,0,25.0,60.0,2,2507975.0
271,68,1200.0,9.0,11.0,2017,15.0,158.4,110.3,20.0,421,16.22972972972973,0,40.0,31.0,0,2641839.0
272,68,607.0,8.0,6.0,2017,11.0,161.2,110.6,14.0,421,16.22972972972973,0,41.0,25.0,12,2765509.0
273,68,1047.0,8.0,6.0,2017,12.0,164.4,111.0,14.0,421,16.22972972972973,0,54.0,20.0,3,2702339.0
274,68,487.0,12.0,6.0,2017,14.0,173.1,118.1,18.0,421,16.22972972972973,1,25.0,76.0,9,2501149.0
275,68,700.0,3.0,10.0,2017,12.0,160.6,110.1,13.0,421,16.22972972972973,0,26.0,65.0,6,2474505.0
276,68,636.0,8.0,6.0,2017,15.0,165.5,113.5,14.0,421,16.22972972972973,1,24.0,70.0,4,2676440.0
277,68,968.0,7.0,10.0,2017,15.0,167.0,116.8,17.0,421,16.22972972972973,0,40.0,44.0,1,2532698.0
278,68,920.0,10.0,5.0,2017,16.0,164.0,110.9,15.0,421,16.22972972972973,0,33.0,89.0,8,2722266.0
